Property_ID,Listing_Date,Sale_Price,Bedrooms,Bathrooms,SqFt_Living,SqFt_Lot,Floors,Waterfront,Year_Built,Year_Renovated,City,Zip_Code,Price_per_SqFt,Property_Size_Tier,Property_Age,Age_Group
PROP_00027,2026-01-01,582862.0,5,4.0,2449,14694,3.0,0,2000,0,Tech Park District,30046,238.0,Medium,26,Mordern
PROP_00028,2025-09-21,342813.0,4,2.5,1497,2994,1.5,0,2003,0,Coastal Suburbs,20012,229.0,Small,23,Mordern
PROP_00029,2026-01-16,485310.0,2,2.0,2311,4622,1.5,0,1993,0,Greenwood Valley,40081,210.0,Medium,33,Established
PROP_00030,2026-03-29,777088.0,6,3.5,3736,26152,2.0,0,1967,0,Greenwood Valley,40082,208.0,Large,59,Established
PROP_00032,2025-06-04,183812.0,1,1.5,865,5190,1.5,0,1958,2022,Greenwood Valley,40082,212.5,Small,68,Established
PROP_00033,2025-08-21,186151.0,1,2.5,917,3668,2.0,0,2002,0,Tech Park District,30045,203.0,Small,24,Mordern
PROP_00034,2026-05-24,317604.0,4,1.0,1596,4788,1.0,0,2005,0,Metro City,10002,199.0,Medium,21,Mordern
PROP_00035,2026-01-03,285324.0,3,1.5,1829,9145,1.5,0,2007,0,Greenwood Valley,40081,156.0,Medium,19,Mordern
PROP_00036,2025-11-22,337171.0,4,2.5,1747,10482,1.0,0,2008,0,Greenwood Valley,40081,193.0,Medium,18,Mordern
PROP_00037,2025-10-21,388087.0,2,2.5,1310,3930,2.0,0,1999,2018,Tech Park District,30046,296.2,Small,27,Mordern
PROP_00038,2025-08-19,192313.0,1,1.5,1123,4492,2.0,0,1977,2022,Metro City,10004,171.2,Small,49,Established
PROP_00039,2025-09-19,408111.0,1,2.0,1639,8195,1.0,0,1955,0,Metro City,10003,249.0,Medium,71,Established
PROP_00040,2025-11-20,248248.0,4,1.5,1612,3224,1.0,0,1991,0,Metro City,10004,154.0,Medium,35,Established
PROP_00041,2025-07-23,431851.0,1,1.5,2261,11305,1.0,0,1970,0,Greenwood Valley,40082,191.0,Medium,56,Established
PROP_00042,2025-07-18,216216.0,1,2.5,1144,2288,2.0,0,1969,0,Metro City,10001,189.0,Small,57,Established
PROP_00043,2025-12-12,150000.0,2,2.5,2226,4452,2.0,0,1999,0,Coastal Suburbs,20011,-67.4,Medium,27,Mordern
PROP_00044,2025-07-20,429151.0,1,2.5,2371,7113,1.0,0,1975,0,Greenwood Valley,40081,181.0,Medium,51,Established
PROP_00046,2025-11-24,431171.0,3,2.0,1951,5853,2.0,0,2004,0,Metro City,10004,221.0,Medium,22,Mordern
PROP_00047,2026-04-06,384651.0,2,1.0,1623,6492,1.0,0,1978,0,Coastal Suburbs,20011,237.0,Medium,48,Established
PROP_00048,2025-10-14,289634.0,2,2.5,1417,8502,1.5,1,1971,0,Tech Park District,30046,204.4,Small,55,Established
PROP_00050,2026-01-22,192676.0,2,1.0,1276,2552,2.0,0,1989,0,Metro City,10004,151.0,Small,37,Established
PROP_00051,2026-03-02,338472.0,1,1.5,1567,7835,1.5,0,1976,0,Greenwood Valley,40081,216.0,Medium,50,Established
PROP_00052,2025-08-03,139620.0,4,2.0,1074,4296,1.5,0,2003,0,Coastal Suburbs,20013,130.0,Small,23,Mordern
PROP_00053,2025-12-11,237168.0,3,2.0,1296,3888,2.0,0,1978,0,Tech Park District,30045,183.0,Small,48,Established
PROP_00054,2025-07-11,281736.0,1,1.0,1806,3612,1.0,0,1976,0,Greenwood Valley,40082,156.0,Medium,50,Established
PROP_00055,2026-03-10,365961.0,2,1.5,1839,3678,1.5,0,1971,0,Coastal Suburbs,20013,199.0,Medium,55,Established
PROP_00056,2025-10-29,295830.0,2,2.0,1384,8304,1.5,0,1984,2023,Coastal Suburbs,20012,213.8,Small,42,Established
PROP_00057,2026-04-18,391690.0,2,2.5,1703,8515,2.0,0,1969,0,Metro City,10003,230.0,Medium,57,Established
PROP_00058,2026-04-13,885720.0,5,2.5,3630,25410,3.0,0,1982,0,Greenwood Valley,40081,244.0,Large,44,Established
PROP_00059,2025-12-03,235638.0,4,1.0,1482,4446,2.0,0,1974,0,Tech Park District,30046,159.0,Small,52,Established
PROP_00060,2026-03-23,400200.0,4,2.5,2320,9280,1.5,0,2002,2017,Tech Park District,30046,172.5,Medium,24,Mordern
PROP_00061,2025-09-07,509106.0,4,2.0,2379,9516,2.0,0,1957,0,Greenwood Valley,40081,214.0,Medium,69,Established
PROP_00062,2026-05-27,328444.0,1,2.0,2092,4184,2.0,0,1983,0,Greenwood Valley,40081,157.0,Medium,43,Established
PROP_00063,2025-07-06,226502.0,2,1.0,1039,2078,2.0,0,2000,0,Coastal Suburbs,20012,218.0,Small,26,Mordern
PROP_00064,2025-06-24,1154496.0,4,4.0,3436,27488,2.5,0,1998,0,Metro City,10002,336.0,Large,28,Mordern
PROP_00065,2026-05-05,334125.0,3,1.5,1350,4050,2.0,0,1950,2023,Greenwood Valley,40081,247.5,Small,76,Established
PROP_00066,2025-09-25,353100.0,4,2.5,2140,8560,2.0,0,1997,0,Metro City,10001,165.0,Medium,29,Mordern
PROP_00067,2025-10-27,325526.0,1,2.5,1961,5883,1.0,0,1974,0,Coastal Suburbs,20011,166.0,Medium,52,Established
PROP_00068,2025-07-11,182970.0,1,1.5,963,3852,1.0,0,1958,0,Greenwood Valley,40082,190.0,Small,68,Established
PROP_00069,2025-09-28,120250.0,1,1.0,925,3700,1.0,0,1962,0,Coastal Suburbs,20012,130.0,Small,64,Established
PROP_00070,2025-07-22,473207.0,3,2.5,1769,7076,2.0,0,1993,2019,Metro City,10004,267.5,Medium,33,Established
PROP_00071,2025-12-12,327672.0,1,2.0,1476,2952,1.0,0,1967,0,Tech Park District,30046,222.0,Small,59,Established
PROP_00072,2025-10-21,1364892.0,4,3.5,4252,29764,3.0,0,2015,0,Metro City,10003,321.0,Large,11,Mordern
PROP_00074,2026-04-22,243020.0,1,2.0,1676,8380,2.0,0,1999,0,Greenwood Valley,40082,145.0,Medium,27,Mordern
PROP_00075,2025-12-04,543426.0,1,1.5,1819,3638,1.5,0,1971,2017,Coastal Suburbs,20013,298.7,Medium,55,Established
PROP_00076,2025-08-23,206248.0,2,1.0,1016,5080,2.0,0,1999,0,Greenwood Valley,40081,203.0,Small,27,Mordern
PROP_00077,2025-12-07,529690.0,4,1.0,2162,6486,2.0,0,1961,0,Coastal Suburbs,20013,245.0,Medium,65,Established
PROP_00078,2025-11-29,1130382.0,6,2.5,3806,22836,3.0,0,2005,0,Tech Park District,30045,297.0,Large,21,Mordern
PROP_00079,2025-09-16,164976.0,1,1.0,982,3928,2.0,0,1964,0,Coastal Suburbs,20012,168.0,Small,62,Established
PROP_00080,2026-05-10,1098526.0,6,2.5,3674,11022,3.0,0,2004,0,Coastal Suburbs,20012,299.0,Large,22,Mordern
PROP_00081,2025-10-15,321800.0,2,1.0,1609,3218,2.0,0,1968,0,Tech Park District,30045,200.0,Medium,58,Established
PROP_00082,2026-05-26,259968.0,4,1.5,2031,8124,1.0,0,1990,0,Tech Park District,30045,128.0,Medium,36,Established
PROP_00084,2026-04-28,1441640.0,4,2.5,3134,18804,3.0,0,1970,2024,Coastal Suburbs,20013,460.0,Large,56,Established
PROP_00085,2025-07-07,451392.0,4,2.0,2351,11755,1.5,0,1986,0,Greenwood Valley,40082,192.0,Medium,40,Established
PROP_00086,2026-04-08,625581.0,5,2.5,2937,14685,3.0,0,1988,0,Coastal Suburbs,20013,213.0,Medium,38,Established
PROP_00087,2026-04-22,186320.0,4,2.0,1096,3288,1.0,0,1951,0,Coastal Suburbs,20013,170.0,Small,75,Established
PROP_00088,2025-08-27,150975.0,4,1.5,915,1830,1.5,0,1956,0,Metro City,10002,165.0,Small,70,Established
PROP_00089,2026-03-01,1106300.0,6,4.0,3404,10212,2.0,0,1988,0,Tech Park District,30046,325.0,Large,38,Established
PROP_00090,2025-10-04,496523.0,1,2.5,2131,10655,1.5,0,1997,0,Coastal Suburbs,20013,233.0,Medium,29,Mordern
PROP_00091,2025-08-23,288144.0,2,1.0,2001,12006,2.0,0,1973,0,Metro City,10001,144.0,Medium,53,Established
PROP_00092,2026-01-23,116250.0,1,2.0,930,5580,1.0,0,2000,0,Greenwood Valley,40082,125.0,Small,26,Mordern
PROP_00093,2025-12-12,356568.0,1,1.5,2148,4296,1.0,0,1950,0,Greenwood Valley,40081,166.0,Medium,76,Established
PROP_00094,2025-10-17,156640.0,2,1.5,979,5874,1.5,0,1960,2024,Tech Park District,30045,160.0,Small,66,Established
PROP_00095,2026-04-24,797132.0,4,4.0,2401,9604,2.5,0,1987,0,Tech Park District,30046,332.0,Medium,39,Established
PROP_00096,2026-05-19,295945.0,3,2.0,2041,12246,2.0,0,1955,0,Greenwood Valley,40081,145.0,Medium,71,Established
PROP_00097,2026-03-13,388303.0,2,1.5,2033,12198,1.0,0,1966,0,Coastal Suburbs,20011,191.0,Medium,60,Established
PROP_00098,2025-09-21,492562.0,3,2.5,2130,6390,1.5,0,2004,2018,Greenwood Valley,40081,231.2,Medium,22,Mordern
PROP_00099,2026-05-17,565750.0,3,1.5,2263,9052,2.0,0,1970,0,Coastal Suburbs,20011,250.0,Medium,56,Established
PROP_00101,2025-06-29,262491.0,1,2.0,1483,5932,1.0,0,1985,0,Greenwood Valley,40081,177.0,Small,41,Established
PROP_00102,2025-09-26,283955.0,1,1.0,1159,6954,2.0,0,1962,0,Greenwood Valley,40081,245.0,Small,64,Established
PROP_00103,2025-06-17,323573.0,1,1.5,1451,7255,1.0,0,2011,0,Tech Park District,30046,223.0,Small,15,Mordern
PROP_00104,2025-11-09,145236.0,2,1.5,1092,5460,2.0,0,1997,0,Tech Park District,30045,133.0,Small,29,Mordern
PROP_00105,2025-12-23,322620.0,4,1.5,1698,6792,1.5,0,2004,0,Coastal Suburbs,20013,190.0,Medium,22,Mordern
PROP_00107,2025-07-04,411996.0,4,1.0,1668,10008,2.0,0,2015,0,Metro City,10001,247.0,Medium,11,Mordern
PROP_00108,2025-09-17,588120.0,2,1.0,2262,11310,2.0,0,1981,2024,Metro City,10004,260.0,Medium,45,Established
PROP_00109,2026-03-18,1289658.0,6,3.0,3117,9351,2.5,0,1995,2022,Metro City,10004,413.7,Large,31,Established
PROP_00110,2025-11-09,328500.0,1,2.0,2190,6570,2.0,0,1987,0,Greenwood Valley,40082,150.0,Medium,39,Established
PROP_00111,2025-09-17,347456.0,4,1.5,1424,8544,1.0,0,1957,0,Tech Park District,30046,244.0,Small,69,Established
PROP_00112,2026-05-02,219820.0,1,1.0,1516,4548,1.5,0,2005,0,Greenwood Valley,40082,145.0,Medium,21,Mordern
PROP_00113,2026-02-11,240370.0,4,1.0,1118,4472,1.0,0,1988,0,Metro City,10002,215.0,Small,38,Established
PROP_00114,2025-12-20,1306200.0,4,4.0,4200,16800,2.0,0,1950,0,Coastal Suburbs,20013,311.0,Large,76,Established
PROP_00115,2026-04-26,205824.0,1,1.5,1608,8040,2.0,0,1970,0,Coastal Suburbs,20011,128.0,Medium,56,Established
PROP_00116,2026-01-21,487512.0,4,2.5,2196,6588,1.5,0,2014,0,Greenwood Valley,40082,222.0,Medium,12,Mordern
PROP_00117,2025-08-13,190440.0,1,1.0,1058,3174,1.5,0,1956,0,Greenwood Valley,40081,180.0,Small,70,Established
PROP_00118,2025-10-14,4003073.0,6,7.5,6467,58203,3.0,0,1981,0,Tech Park District,30046,619.0,Large,45,Established
PROP_00119,2025-08-11,379950.0,1,2.0,2235,6705,2.0,0,2010,0,Coastal Suburbs,20011,170.0,Medium,16,Mordern
PROP_00120,2025-10-05,176774.0,2,1.5,1046,3138,1.5,0,1968,0,Metro City,10002,169.0,Small,58,Established
PROP_00121,2026-03-15,1310310.0,5,4.0,3656,29248,3.0,1,1993,0,Coastal Suburbs,20011,358.4,Large,33,Established
PROP_00122,2026-03-03,306677.0,3,1.0,1351,5404,1.5,0,1981,0,Metro City,10004,227.0,Small,45,Established
PROP_00123,2025-10-13,178930.0,1,2.0,1234,4936,1.5,0,2005,0,Metro City,10002,145.0,Small,21,Mordern
PROP_00124,2026-03-27,332010.0,1,1.0,2170,4340,2.0,0,1992,0,Greenwood Valley,40082,153.0,Medium,34,Established
PROP_00125,2026-01-06,305388.0,3,1.5,1996,9980,1.0,0,1965,0,Tech Park District,30046,153.0,Medium,61,Established
PROP_00126,2026-03-26,462479.0,1,1.0,1919,11514,1.5,0,1975,0,Coastal Suburbs,20011,241.0,Medium,51,Established
PROP_00127,2025-12-22,688837.0,4,2.0,2355,14130,1.5,0,1965,2017,Coastal Suburbs,20011,292.5,Medium,61,Established
PROP_00128,2025-12-03,491547.0,1,1.5,2027,8108,2.0,0,1955,2016,Greenwood Valley,40082,242.5,Medium,71,Established
PROP_00129,2025-09-21,920322.0,5,2.5,3078,18468,3.0,0,2001,0,Coastal Suburbs,20013,299.0,Large,25,Mordern
PROP_00130,2025-08-10,430125.0,2,1.0,1850,9250,2.0,0,1988,2020,Coastal Suburbs,20011,232.5,Medium,38,Established
PROP_00131,2026-02-16,266827.0,1,1.5,1397,2794,2.0,0,1967,0,Tech Park District,30045,191.0,Small,59,Established
PROP_00133,2025-07-17,175147.0,3,2.0,917,1834,1.5,0,1972,0,Tech Park District,30045,191.0,Small,54,Established
PROP_00134,2025-06-25,485106.0,4,2.0,2082,12492,2.0,0,1978,0,Metro City,10001,233.0,Medium,48,Established
PROP_00135,2025-07-27,458227.0,4,1.5,1713,5139,2.0,0,1968,2017,Coastal Suburbs,20013,267.5,Medium,58,Established
PROP_00136,2025-08-18,377472.0,2,1.5,1966,9830,2.0,0,1952,0,Greenwood Valley,40081,192.0,Medium,74,Established
PROP_00137,2026-04-18,243739.0,2,1.0,1093,2186,1.5,0,1962,0,Coastal Suburbs,20012,223.0,Small,64,Established
PROP_00138,2025-08-21,801444.0,4,2.5,3948,23688,2.0,0,1955,0,Coastal Suburbs,20013,203.0,Large,71,Established
PROP_00139,2026-05-15,143397.0,1,1.0,1017,6102,2.0,0,1975,0,Metro City,10003,141.0,Small,51,Established
PROP_00140,2026-01-03,245186.0,4,1.5,1299,2598,2.0,0,1952,2017,Greenwood Valley,40081,188.7,Small,74,Established
PROP_00141,2026-04-02,174836.0,4,1.5,802,2406,1.0,0,1968,0,Tech Park District,30045,218.0,Small,58,Established
PROP_00142,2025-07-03,1286734.0,6,4.0,2861,17166,2.0,1,1963,2020,Tech Park District,30045,449.7,Medium,63,Established
PROP_00143,2025-12-15,222817.0,1,2.0,973,1946,2.0,0,1992,0,Tech Park District,30045,229.0,Small,34,Established
PROP_00144,2025-12-13,1461690.0,6,3.5,3576,17880,2.0,0,1997,2017,Greenwood Valley,40081,408.8,Large,29,Mordern
PROP_00145,2026-04-02,967932.0,4,3.5,3006,18036,2.5,0,1958,0,Metro City,10002,322.0,Large,68,Established
PROP_00146,2026-01-26,267216.0,3,1.5,1172,5860,1.5,0,2011,0,Greenwood Valley,40082,228.0,Small,15,Mordern
PROP_00147,2026-02-26,407622.0,2,2.5,1657,9942,1.5,0,1979,0,Greenwood Valley,40082,246.0,Medium,47,Established
PROP_00148,2025-10-07,242506.0,2,2.0,805,2415,1.0,0,1967,2016,Greenwood Valley,40081,301.2,Small,59,Established
PROP_00149,2026-03-11,1842122.0,4,3.5,4286,17144,3.0,1,1981,0,Tech Park District,30046,429.8,Large,45,Established
PROP_00150,2025-06-06,338195.0,1,1.5,1573,3146,2.0,0,1956,0,Coastal Suburbs,20011,215.0,Medium,70,Established
PROP_00151,2026-05-15,657438.0,4,2.5,3002,15010,2.0,0,1951,0,Metro City,10004,219.0,Large,75,Established
PROP_00152,2025-07-29,1135251.0,5,3.0,3627,21762,2.5,0,1951,0,Greenwood Valley,40081,313.0,Large,75,Established
PROP_00153,2026-05-16,1374296.0,4,3.0,4462,17848,2.0,0,2008,0,Coastal Suburbs,20011,308.0,Large,18,Mordern
PROP_00154,2026-03-02,206112.0,4,1.5,1356,2712,2.0,0,1977,0,Tech Park District,30046,152.0,Small,49,Established
PROP_00155,2025-10-15,385609.0,1,2.5,1777,7108,2.0,0,1971,0,Metro City,10002,217.0,Medium,55,Established
PROP_00156,2026-04-25,196595.0,1,1.0,959,3836,2.0,0,1953,0,Tech Park District,30046,205.0,Small,73,Established
PROP_00157,2025-11-22,300672.0,2,1.0,2349,9396,1.0,0,1980,0,Coastal Suburbs,20013,128.0,Medium,46,Established
PROP_00158,2025-07-28,316472.0,3,1.0,1432,2864,1.5,0,2014,0,Metro City,10004,221.0,Small,12,Mordern
PROP_00159,2025-10-29,2936444.0,6,6.0,6169,80197,2.5,0,1953,0,Greenwood Valley,40082,476.0,Large,73,Established
PROP_00160,2026-01-09,201987.0,1,2.0,1130,3390,2.0,0,1979,2018,Greenwood Valley,40082,178.7,Small,47,Established
PROP_00161,2025-08-20,307050.0,3,2.5,1068,4272,1.5,0,1955,2022,Coastal Suburbs,20013,287.5,Small,71,Established
PROP_00162,2026-01-19,2776961.0,6,5.0,6823,102345,3.0,0,1968,0,Coastal Suburbs,20011,407.0,Large,58,Established
PROP_00163,2025-06-02,244311.0,4,2.0,1147,4588,1.0,0,1995,0,Tech Park District,30045,213.0,Small,31,Established
PROP_00164,2025-10-13,796719.0,5,4.0,3449,20694,3.0,0,2012,0,Coastal Suburbs,20013,231.0,Large,14,Mordern
PROP_00165,2026-02-12,333465.0,2,2.5,1551,9306,2.0,0,1960,0,Tech Park District,30046,215.0,Medium,66,Established
PROP_00166,2025-08-31,903462.0,6,2.5,2634,21072,2.0,0,1951,0,Greenwood Valley,40082,343.0,Medium,75,Established
PROP_00167,2026-02-15,262504.0,4,1.0,1256,6280,1.5,0,2009,0,Metro City,10003,209.0,Small,17,Mordern
PROP_00168,2025-07-25,322728.0,1,2.5,2373,11865,1.0,0,1990,0,Greenwood Valley,40081,136.0,Medium,36,Established
PROP_00169,2026-04-17,328800.0,4,1.0,1370,6850,1.0,0,1968,0,Greenwood Valley,40081,240.0,Small,58,Established
PROP_00171,2026-04-24,267050.0,2,1.0,1090,2180,1.5,0,2007,2024,Metro City,10004,245.0,Small,19,Mordern
PROP_00172,2026-02-15,1073805.0,4,2.5,2779,16674,2.5,1,1971,0,Coastal Suburbs,20013,386.4,Medium,55,Established
PROP_00173,2026-04-08,259420.0,2,2.5,1526,9156,1.5,0,1959,0,Greenwood Valley,40082,170.0,Medium,67,Established
PROP_00174,2025-09-10,222708.0,3,1.0,1108,5540,1.0,0,1964,0,Coastal Suburbs,20012,201.0,Small,62,Established
PROP_00175,2025-08-18,152208.0,1,2.5,1057,5285,2.0,0,1954,0,Greenwood Valley,40082,144.0,Small,72,Established
PROP_00176,2025-12-09,152766.0,2,2.5,1242,4968,1.0,0,1997,0,Coastal Suburbs,20012,123.0,Small,29,Mordern
PROP_00177,2025-08-22,1611312.0,6,2.5,4445,35560,2.5,0,1995,2022,Metro City,10003,362.5,Large,31,Established
PROP_00178,2026-03-04,1328002.0,5,4.0,3929,15716,3.0,0,2005,0,Tech Park District,30045,338.0,Large,21,Mordern
PROP_00179,2026-02-27,227700.0,1,1.0,1012,2024,2.0,0,1963,0,Greenwood Valley,40082,225.0,Small,63,Established
PROP_00180,2025-06-01,360437.0,1,2.0,1661,4983,1.0,0,1964,0,Metro City,10004,217.0,Medium,62,Established
PROP_00181,2026-04-03,375240.0,4,2.5,2120,10600,1.0,0,2014,0,Greenwood Valley,40081,177.0,Medium,12,Mordern
PROP_00182,2025-11-13,722377.0,5,3.0,2418,14508,2.0,0,1997,2024,Tech Park District,30046,298.7,Medium,29,Mordern
PROP_00183,2026-02-06,426360.0,4,1.5,1938,9690,1.0,0,1956,0,Tech Park District,30046,220.0,Medium,70,Established
PROP_00184,2025-06-10,1049468.0,5,3.0,4052,20260,3.0,0,1962,0,Greenwood Valley,40081,259.0,Large,64,Established
PROP_00185,2025-07-28,276276.0,4,2.0,1932,5796,1.5,0,1953,0,Coastal Suburbs,20013,143.0,Medium,73,Established
PROP_00186,2025-12-03,179561.0,1,2.5,851,2553,1.5,0,1973,0,Coastal Suburbs,20011,211.0,Small,53,Established
PROP_00187,2025-11-05,335157.0,2,2.5,2377,9508,2.0,0,1968,0,Coastal Suburbs,20012,141.0,Medium,58,Established
PROP_00188,2025-10-01,155870.0,1,1.0,1090,4360,1.5,0,1959,0,Metro City,10001,143.0,Small,67,Established
PROP_00189,2025-06-30,228933.0,4,1.0,1647,3294,1.5,0,1976,0,Tech Park District,30045,139.0,Medium,50,Established
PROP_00190,2025-10-02,186880.0,4,1.5,1168,4672,1.0,0,1965,2021,Greenwood Valley,40082,160.0,Small,61,Established
PROP_00191,2026-03-18,237307.0,3,1.0,1194,7164,1.0,0,1977,2017,Greenwood Valley,40081,198.7,Small,49,Established
PROP_00192,2025-07-11,391590.0,2,1.0,2290,6870,1.5,0,1961,0,Coastal Suburbs,20011,171.0,Medium,65,Established
PROP_00193,2025-07-14,392912.0,4,2.5,1849,9245,1.0,0,1985,2017,Tech Park District,30046,212.5,Medium,41,Established
PROP_00194,2026-02-04,1123344.0,6,4.0,4176,25056,2.5,0,1990,0,Tech Park District,30045,269.0,Large,36,Established
PROP_00195,2025-07-06,268160.0,3,2.0,2095,4190,1.5,0,2015,0,Greenwood Valley,40082,128.0,Medium,11,Mordern
PROP_00196,2026-02-28,197169.0,3,2.5,861,1722,1.0,0,1973,0,Greenwood Valley,40082,229.0,Small,53,Established
PROP_00197,2025-08-04,292312.0,3,1.5,2396,9584,1.0,0,1992,0,Metro City,10002,122.0,Medium,34,Established
PROP_00198,2025-08-05,388112.0,4,2.0,2032,6096,2.0,0,1959,0,Tech Park District,30045,191.0,Medium,67,Established
PROP_00199,2026-05-04,228570.0,3,1.5,1203,2406,1.5,0,2003,0,Greenwood Valley,40082,190.0,Small,23,Mordern
PROP_00200,2026-01-30,239580.0,4,1.5,1980,3960,1.5,0,2009,0,Greenwood Valley,40081,121.0,Medium,17,Mordern
PROP_00201,2026-03-09,847168.0,6,2.5,3782,30256,2.0,0,2003,0,Greenwood Valley,40081,224.0,Large,23,Mordern
PROP_00202,2025-08-24,1016508.0,5,2.5,3683,22098,3.0,0,2008,0,Tech Park District,30046,276.0,Large,18,Mordern
PROP_00203,2025-10-14,935676.0,4,2.5,3318,9954,2.0,0,2005,0,Metro City,10003,282.0,Large,21,Mordern
PROP_00204,2026-02-26,289379.0,3,1.0,2209,4418,1.5,0,1964,0,Metro City,10002,131.0,Medium,62,Established
PROP_00205,2026-04-07,334500.0,4,2.0,2230,6690,1.0,0,1966,0,Tech Park District,30045,150.0,Medium,60,Established
PROP_00206,2026-01-03,1168055.0,5,4.0,2902,20314,3.0,0,2012,2022,Coastal Suburbs,20013,402.5,Medium,14,Mordern
PROP_00207,2025-09-17,261784.0,3,1.0,1522,9132,1.0,0,1959,0,Greenwood Valley,40081,172.0,Medium,67,Established
PROP_00208,2026-03-04,343405.0,2,2.5,1588,4764,1.5,0,2015,2022,Greenwood Valley,40081,216.2,Medium,11,Mordern
PROP_00209,2026-05-20,1652456.0,4,3.0,3297,16485,2.5,1,2015,0,Greenwood Valley,40081,501.2,Large,11,Mordern
PROP_00210,2025-09-11,432731.0,4,1.5,2205,8820,2.0,0,2009,2017,Greenwood Valley,40081,196.2,Medium,17,Mordern
PROP_00211,2025-11-07,730220.0,4,3.5,2518,15108,3.0,0,1983,0,Coastal Suburbs,20011,290.0,Medium,43,Established
PROP_00212,2025-12-22,509661.42063729896,2,2.5,1828,9140,2.0,0,1984,0,Metro City,10003,0.0,Medium,42,Established
PROP_00213,2026-05-10,266380.0,4,1.5,1402,4206,1.5,0,2013,0,Metro City,10004,190.0,Small,13,Mordern
PROP_00214,2026-04-29,187335.0,1,1.5,1035,2070,1.0,0,1958,0,Metro City,10001,181.0,Small,68,Established
PROP_00215,2025-12-09,1510262.0,6,4.0,4006,24036,2.0,0,1984,0,Tech Park District,30045,377.0,Large,42,Established
PROP_00216,2026-01-11,696355.0,3,2.0,2302,4604,1.0,0,1989,2019,Coastal Suburbs,20011,302.5,Medium,37,Established
