Property_ID,Listing_Date,Sale_Price,Bedrooms,Bathrooms,SqFt_Living,SqFt_Lot,Floors,Waterfront,Year_Built,Year_Renovated,City,Zip_Code
PROP_00075,2025-12-04,543426,1,1.5,1819,3638,1.5,0,1971,2017,Coastal Suburbs,20013
PROP_00076,2025-08-23,206248,2,1.0,1016,5080,2.0,0,1999,0,Greenwood Valley,40081
PROP_00077,2025-12-07,529690,4,1.0,2162,6486,2.0,0,1961,0,Coastal Suburbs,20013
PROP_00078,2025-11-29,1130382,6,2.5,3806,22836,3.0,0,2005,0,Tech Park District,30045
PROP_00079,2025-09-16,164976,1,1.0,982,3928,2.0,0,1964,0,Coastal Suburbs,20012
PROP_00080,2026-05-10,1098526,6,2.5,3674,11022,3.0,0,2004,0,Coastal Suburbs,20012
PROP_00081,2025-10-15,321800,2,1.0,1609,3218,2.0,0,1968,0,Tech Park District,30045
PROP_00082,2026-05-26,259968,4,1.5,2031,8124,1.0,0,1990,0,Tech Park District,30045
PROP_00083,2026-05-16,3929855,9,5.0,6528,58752,4.0,1,1992,0,Metro City,10003
PROP_00084,2026-04-28,1441640,4,2.5,3134,18804,3.0,0,1970,2024,Coastal Suburbs,20013
PROP_00085,2025-07-07,451392,4,2.0,2351,11755,1.5,0,1986,0,Greenwood Valley,40082
PROP_00086,2026-04-08,625581,5,2.5,2937,14685,3.0,0,1988,0,Coastal Suburbs,20013
PROP_00087,2026-04-22,186320,4,2.0,1096,3288,1.0,0,1951,0,Coastal Suburbs,20013
PROP_00088,2025-08-27,150975,4,1.5,915,1830,1.5,0,1956,0,Metro City,10002
PROP_00089,2026-03-01,1106300,6,4.0,3404,10212,2.0,0,1988,0,Tech Park District,30046
PROP_00090,2025-10-04,496523,1,2.5,2131,10655,1.5,0,1997,0,Coastal Suburbs,20013
PROP_00091,2025-08-23,288144,2,1.0,2001,12006,2.0,0,1973,0,Metro City,10001
PROP_00092,2026-01-23,116250,1,2.0,930,5580,1.0,0,2000,0,Greenwood Valley,40082
PROP_00093,2025-12-12,356568,1,1.5,2148,4296,1.0,0,1950,0,Greenwood Valley,40081
PROP_00094,2025-10-17,156640,2,1.5,979,5874,1.5,0,1960,2024,Tech Park District,30045
PROP_00095,2026-04-24,797132,4,4.0,2401,9604,2.5,0,1987,0,Tech Park District,30046
PROP_00096,2026-05-19,295945,3,2.0,2041,12246,2.0,0,1955,0,Greenwood Valley,40081
PROP_00097,2026-03-13,388303,2,1.5,2033,12198,1.0,0,1966,0,Coastal Suburbs,20011
PROP_00098,2025-09-21,492562,3,2.5,2130,6390,1.5,0,2004,2018,Greenwood Valley,40081
PROP_00099,2026-05-17,565750,3,1.5,2263,9052,2.0,0,1970,0,Coastal Suburbs,20011
PROP_00100,2025-11-14,2133041,9,7.5,4607,64498,2.5,0,1964,0,Coastal Suburbs,20012
PROP_00101,2025-06-29,262491,1,2.0,1483,5932,1.0,0,1985,0,Greenwood Valley,40081
PROP_00102,2025-09-26,283955,1,1.0,1159,6954,2.0,0,1962,0,Greenwood Valley,40081
PROP_00103,2025-06-17,323573,1,1.5,1451,7255,1.0,0,2011,0,Tech Park District,30046
PROP_00104,2025-11-09,145236,2,1.5,1092,5460,2.0,0,1997,0,Tech Park District,30045
PROP_00105,2025-12-23,322620,4,1.5,1698,6792,1.5,0,2004,0,Coastal Suburbs,20013
PROP_00106,2025-10-16,283560,12,2.0,1632,6528,1.0,0,1980,2018,Coastal Suburbs,20012
PROP_00107,2025-07-04,411996,4,1.0,1668,10008,2.0,0,2015,0,Metro City,10001
PROP_00108,2025-09-17,588120,2,1.0,2262,11310,2.0,0,1981,2024,Metro City,10004
PROP_00109,2026-03-18,1289658,6,3.0,3117,9351,2.5,0,1995,2022,Metro City,10004
PROP_00110,2025-11-09,328500,1,2.0,2190,6570,2.0,0,1987,0,Greenwood Valley,40082
PROP_00111,2025-09-17,347456,4,1.5,1424,8544,1.0,0,1957,0,Tech Park District,30046
PROP_00112,2026-05-02,219820,1,1.0,1516,4548,1.5,0,2005,0,Greenwood Valley,40082
PROP_00113,2026-02-11,240370,4,1.0,1118,4472,1.0,0,1988,0,Metro City,10002
PROP_00114,2025-12-20,1306200,4,4.0,4200,16800,2.0,0,1950,0,Coastal Suburbs,20013
PROP_00115,2026-04-26,205824,1,1.5,1608,8040,2.0,0,1970,0,Coastal Suburbs,20011
PROP_00116,2026-01-21,487512,4,2.5,2196,6588,1.5,0,2014,0,Greenwood Valley,40082
PROP_00117,2025-08-13,190440,1,1.0,1058,3174,1.5,0,1956,0,Greenwood Valley,40081
PROP_00118,2025-10-14,4003073,6,7.5,6467,58203,3.0,0,1981,0,Tech Park District,30046
PROP_00119,2025-08-11,379950,1,2.0,2235,6705,2.0,0,2010,0,Coastal Suburbs,20011
PROP_00120,2025-10-05,176774,2,1.5,1046,3138,1.5,0,1968,0,Metro City,10002
PROP_00121,2026-03-15,1310310,5,4.0,3656,29248,3.0,1,1993,0,Coastal Suburbs,20011
PROP_00122,2026-03-03,306677,3,1.0,1351,5404,1.5,0,1981,0,Metro City,10004
PROP_00123,2025-10-13,178930,1,2.0,1234,4936,1.5,0,2005,0,Metro City,10002
PROP_00124,2026-03-27,332010,1,1.0,2170,4340,2.0,0,1992,0,Greenwood Valley,40082
PROP_00125,2026-01-06,305388,3,1.5,1996,9980,1.0,0,1965,0,Tech Park District,30046
PROP_00126,2026-03-26,462479,1,1.0,1919,11514,1.5,0,1975,0,Coastal Suburbs,20011
PROP_00127,2025-12-22,688837,4,2.0,2355,14130,1.5,0,1965,2017,Coastal Suburbs,20011
PROP_00128,2025-12-03,491547,1,1.5,2027,8108,2.0,0,1955,2016,Greenwood Valley,40082
PROP_00129,2025-09-21,920322,5,2.5,3078,18468,3.0,0,2001,0,Coastal Suburbs,20013
PROP_00130,2025-08-10,430125,2,1.0,1850,9250,2.0,0,1988,2020,Coastal Suburbs,20011
PROP_00131,2026-02-16,266827,1,1.5,1397,2794,2.0,0,1967,0,Tech Park District,30045
PROP_00132,2026-02-08,2649528,7,4.5,4506,67590,3.0,0,1991,0,Metro City,10002
PROP_00133,2025-07-17,175147,3,2.0,917,1834,1.5,0,1972,0,Tech Park District,30045
PROP_00134,2025-06-25,485106,4,2.0,2082,12492,2.0,0,1978,0,Metro City,10001
PROP_00135,2025-07-27,458227,4,1.5,1713,5139,2.0,0,1968,2017,Coastal Suburbs,20013
PROP_00136,2025-08-18,377472,2,1.5,1966,9830,2.0,0,1952,0,Greenwood Valley,40081
PROP_00137,2026-04-18,243739,2,1.0,1093,2186,1.5,0,1962,0,Coastal Suburbs,20012
PROP_00138,2025-08-21,801444,4,2.5,3948,23688,2.0,0,1955,0,Coastal Suburbs,20013
PROP_00139,2026-05-15,143397,1,1.0,1017,6102,2.0,0,1975,0,Metro City,10003
PROP_00140,2026-01-03,245186,4,1.5,1299,2598,2.0,0,1952,2017,Greenwood Valley,40081
PROP_00141,2026-04-02,174836,4,1.5,802,2406,1.0,0,1968,0,Tech Park District,30045
PROP_00142,2025-07-03,1286734,6,4.0,2861,17166,2.0,1,1963,2020,Tech Park District,30045
PROP_00143,2025-12-15,222817,1,2.0,973,1946,2.0,0,1992,0,Tech Park District,30045
PROP_00144,2025-12-13,1461690,6,3.5,3576,17880,2.0,0,1997,2017,Greenwood Valley,40081
PROP_00145,2026-04-02,967932,4,3.5,3006,18036,2.5,0,1958,0,Metro City,10002
PROP_00146,2026-01-26,267216,3,1.5,1172,5860,1.5,0,2011,0,Greenwood Valley,40082
PROP_00147,2026-02-26,407622,2,2.5,1657,9942,1.5,0,1979,0,Greenwood Valley,40082
PROP_00148,2025-10-07,242506,2,2.0,805,2415,1.0,0,1967,2016,Greenwood Valley,40081
PROP_00149,2026-03-11,1842122,4,3.5,4286,17144,3.0,1,1981,0,Tech Park District,30046
PROP_00150,2025-06-06,338195,1,1.5,1573,3146,2.0,0,1956,0,Coastal Suburbs,20011
PROP_00151,2026-05-15,657438,4,2.5,3002,15010,2.0,0,1951,0,Metro City,10004
PROP_00152,2025-07-29,1135251,5,3.0,3627,21762,2.5,0,1951,0,Greenwood Valley,40081
PROP_00153,2026-05-16,1374296,4,3.0,4462,17848,2.0,0,2008,0,Coastal Suburbs,20011
PROP_00154,2026-03-02,206112,4,1.5,1356,2712,2.0,0,1977,0,Tech Park District,30046
PROP_00155,2025-10-15,385609,1,2.5,1777,7108,2.0,0,1971,0,Metro City,10002
PROP_00156,2026-04-25,196595,1,1.0,959,3836,2.0,0,1953,0,Tech Park District,30046
PROP_00157,2025-11-22,300672,2,1.0,2349,9396,1.0,0,1980,0,Coastal Suburbs,20013
PROP_00158,2025-07-28,316472,3,1.0,1432,2864,1.5,0,2014,0,Metro City,10004
PROP_00159,2025-10-29,2936444,6,6.0,6169,80197,2.5,0,1953,0,Greenwood Valley,40082
PROP_00160,2026-01-09,201987,1,2.0,1130,3390,2.0,0,1979,2018,Greenwood Valley,40082
PROP_00161,2025-08-20,307050,3,2.5,1068,4272,1.5,0,1955,2022,Coastal Suburbs,20013
PROP_00162,2026-01-19,2776961,6,5.0,6823,102345,3.0,0,1968,0,Coastal Suburbs,20011
PROP_00163,2025-06-02,244311,4,2.0,1147,4588,1.0,0,1995,0,Tech Park District,30045
PROP_00164,2025-10-13,796719,5,4.0,3449,20694,3.0,0,2012,0,Coastal Suburbs,20013
PROP_00165,2026-02-12,333465,2,2.5,1551,9306,2.0,0,1960,0,Tech Park District,30046
PROP_00166,2025-08-31,903462,6,2.5,2634,21072,2.0,0,1951,0,Greenwood Valley,40082
PROP_00167,2026-02-15,262504,4,1.0,1256,6280,1.5,0,2009,0,Metro City,10003
PROP_00168,2025-07-25,322728,1,2.5,2373,11865,1.0,0,1990,0,Greenwood Valley,40081
PROP_00169,2026-04-17,328800,4,1.0,1370,6850,1.0,0,1968,0,Greenwood Valley,40081
PROP_00170,2025-10-31,5940233,9,4.5,8336,83360,3.0,1,1956,0,Tech Park District,30045
PROP_00171,2026-04-24,267050,2,1.0,1090,2180,1.5,0,2007,2024,Metro City,10004
PROP_00172,2026-02-15,1073805,4,2.5,2779,16674,2.5,1,1971,0,Coastal Suburbs,20013
PROP_00173,2026-04-08,259420,2,2.5,1526,9156,1.5,0,1959,0,Greenwood Valley,40082
PROP_00174,2025-09-10,222708,3,1.0,1108,5540,1.0,0,1964,0,Coastal Suburbs,20012
PROP_00175,2025-08-18,152208,1,2.5,1057,5285,2.0,0,1954,0,Greenwood Valley,40082
PROP_00176,2025-12-09,152766,2,2.5,1242,4968,1.0,0,1997,0,Coastal Suburbs,20012
PROP_00177,2025-08-22,1611312,6,2.5,4445,35560,2.5,0,1995,2022,Metro City,10003
PROP_00178,2026-03-04,1328002,5,4.0,3929,15716,3.0,0,2005,0,Tech Park District,30045
PROP_00179,2026-02-27,227700,1,1.0,1012,2024,2.0,0,1963,0,Greenwood Valley,40082
PROP_00180,2025-06-01,360437,1,2.0,1661,4983,1.0,0,1964,0,Metro City,10004
PROP_00181,2026-04-03,375240,4,2.5,2120,10600,1.0,0,2014,0,Greenwood Valley,40081
PROP_00182,2025-11-13,722377,5,3.0,2418,14508,2.0,0,1997,2024,Tech Park District,30046
PROP_00183,2026-02-06,426360,4,1.5,1938,9690,1.0,0,1956,0,Tech Park District,30046
PROP_00184,2025-06-10,1049468,5,3.0,4052,20260,3.0,0,1962,0,Greenwood Valley,40081
PROP_00185,2025-07-28,276276,4,2.0,1932,5796,1.5,0,1953,0,Coastal Suburbs,20013
PROP_00186,2025-12-03,179561,1,2.5,851,2553,1.5,0,1973,0,Coastal Suburbs,20011
PROP_00187,2025-11-05,335157,2,2.5,2377,9508,2.0,0,1968,0,Coastal Suburbs,20012
PROP_00188,2025-10-01,155870,1,1.0,1090,4360,1.5,0,1959,0,Metro City,10001
PROP_00189,2025-06-30,228933,4,1.0,1647,3294,1.5,0,1976,0,Tech Park District,30045
PROP_00190,2025-10-02,186880,4,1.5,1168,4672,1.0,0,1965,2021,Greenwood Valley,40082
PROP_00191,2026-03-18,237307,3,1.0,1194,7164,1.0,0,1977,2017,Greenwood Valley,40081
PROP_00192,2025-07-11,391590,2,1.0,2290,6870,1.5,0,1961,0,Coastal Suburbs,20011
PROP_00193,2025-07-14,392912,4,2.5,1849,9245,1.0,0,1985,2017,Tech Park District,30046
PROP_00194,2026-02-04,1123344,6,4.0,4176,25056,2.5,0,1990,0,Tech Park District,30045
PROP_00195,2025-07-06,268160,3,2.0,2095,4190,1.5,0,2015,0,Greenwood Valley,40082
PROP_00196,2026-02-28,197169,3,2.5,861,1722,1.0,0,1973,0,Greenwood Valley,40082
PROP_00197,2025-08-04,292312,3,1.5,2396,9584,1.0,0,1992,0,Metro City,10002
PROP_00198,2025-08-05,388112,4,2.0,2032,6096,2.0,0,1959,0,Tech Park District,30045
PROP_00199,2026-05-04,228570,3,1.5,1203,2406,1.5,0,2003,0,Greenwood Valley,40082
PROP_00200,2026-01-30,239580,4,1.5,1980,3960,1.5,0,2009,0,Greenwood Valley,40081
PROP_00201,2026-03-09,847168,6,2.5,3782,30256,2.0,0,2003,0,Greenwood Valley,40081
PROP_00202,2025-08-24,1016508,5,2.5,3683,22098,3.0,0,2008,0,Tech Park District,30046
PROP_00203,2025-10-14,935676,4,2.5,3318,9954,2.0,0,2005,0,Metro City,10003
PROP_00204,2026-02-26,289379,3,1.0,2209,4418,1.5,0,1964,0,Metro City,10002
PROP_00205,2026-04-07,334500,4,2.0,2230,6690,1.0,0,1966,0,Tech Park District,30045
PROP_00206,2026-01-03,1168055,5,4.0,2902,20314,3.0,0,2012,2022,Coastal Suburbs,20013
PROP_00207,2025-09-17,261784,3,1.0,1522,9132,1.0,0,1959,0,Greenwood Valley,40081
PROP_00208,2026-03-04,343405,2,2.5,1588,4764,1.5,0,2015,2022,Greenwood Valley,40081
PROP_00209,2026-05-20,1652456,4,3.0,3297,16485,2.5,1,2015,0,Greenwood Valley,40081
PROP_00210,2025-09-11,432731,4,1.5,2205,8820,2.0,0,2009,2017,Greenwood Valley,40081
PROP_00211,2025-11-07,730220,4,3.5,2518,15108,3.0,0,1983,0,Coastal Suburbs,20011
PROP_00212,2025-12-22,0,2,2.5,1828,9140,2.0,0,1984,0,Metro City,10003
PROP_00213,2026-05-10,266380,4,1.5,1402,4206,1.5,0,2013,0,Metro City,10004
PROP_00214,2026-04-29,187335,1,1.5,1035,2070,1.0,0,1958,0,Metro City,10001
PROP_00215,2025-12-09,1510262,6,4.0,4006,24036,2.0,0,1984,0,Tech Park District,30045
PROP_00216,2026-01-11,696355,3,2.0,2302,4604,1.0,0,1989,2019,Coastal Suburbs,20011
PROP_00217,2026-02-20,356680,2,1.5,1480,7400,1.0,0,2004,0,Coastal Suburbs,20012
PROP_00218,2026-01-18,1010709,4,2.5,3843,23058,3.0,0,2010,0,Coastal Suburbs,20012
PROP_00219,2025-08-01,855285,6,3.0,3001,9003,2.0,0,2007,0,Metro City,10003
PROP_00220,2025-10-05,356495,3,2.0,1739,3478,1.5,0,2011,0,Tech Park District,30046
PROP_00221,2025-09-24,3697680,7,5.0,5964,71568,2.5,0,1996,0,Metro City,10002
PROP_00222,2025-07-03,1109430,5,2.5,3522,28176,3.0,0,1972,0,Metro City,10002
PROP_00223,2025-11-21,296631,4,2.0,1433,4299,1.0,0,1965,0,Tech Park District,30046
PROP_00224,2025-06-11,427382,1,2.5,2203,6609,1.5,0,1970,0,Greenwood Valley,40082
PROP_00225,2026-03-29,593208,4,4.0,2568,10272,2.5,0,1956,0,Tech Park District,30045
PROP_00226,2026-03-11,407340,1,1.0,1314,3942,1.5,0,1969,2020,Metro City,10004
PROP_00227,2025-09-26,228384,1,2.0,1248,2496,1.5,0,1999,0,Coastal Suburbs,20013
PROP_00228,2026-03-29,877020,6,3.5,3110,21770,2.5,0,1967,0,Metro City,10003
PROP_00229,2025-09-21,338912,2,2.0,1424,2848,1.5,0,1973,0,Coastal Suburbs,20012
PROP_00230,2025-06-04,547011,4,2.0,1831,7324,1.5,0,2003,2023,Greenwood Valley,40081
PROP_00231,2025-07-07,1035648,5,2.5,2976,20832,2.5,0,2015,0,Metro City,10001
PROP_00232,2026-05-29,1681165,5,3.0,4051,32408,2.0,0,2008,2017,Tech Park District,30045
PROP_00233,2026-04-20,1295504,6,2.5,3766,26362,2.0,0,2011,0,Metro City,10003
PROP_00234,2025-07-01,456822,1,1.5,1857,5571,2.0,0,1967,0,Metro City,10001
PROP_00235,2025-09-26,330243,1,2.5,2077,6231,1.0,0,1965,0,Coastal Suburbs,20012
PROP_00236,2025-07-05,486000,1,2.5,1600,3200,1.0,0,1973,2024,Coastal Suburbs,20011
PROP_00237,2025-06-17,984356,6,2.5,4171,16684,3.0,0,1980,0,Tech Park District,30046
PROP_00238,2025-11-17,441100,3,1.0,2005,10025,1.5,0,1999,0,Coastal Suburbs,20012
PROP_00239,2025-07-07,187683,4,1.5,857,3428,1.5,0,1951,0,Metro City,10004
PROP_00240,2026-02-19,281280,3,1.5,1758,8790,1.5,0,1995,0,Metro City,10004
PROP_00241,2025-09-30,975486,6,4.0,2658,10632,3.0,0,1993,0,Coastal Suburbs,20012
PROP_00242,2025-10-21,1284480,6,3.5,4014,12042,3.0,0,1973,0,Coastal Suburbs,20012
PROP_00243,2026-05-09,150080,3,2.5,938,1876,1.0,0,1979,0,Tech Park District,30045
PROP_00244,2026-02-04,817156,5,3.5,3349,26792,2.0,0,1999,0,Metro City,10004
PROP_00245,2025-09-18,111252,3,1.0,876,1752,1.5,0,1972,0,Greenwood Valley,40081
PROP_00246,2026-03-04,233109,2,1.5,1317,6585,1.5,0,1975,0,Greenwood Valley,40082
PROP_00247,2025-08-07,257792,1,1.0,1216,2432,1.0,0,2002,0,Greenwood Valley,40081
PROP_00248,2026-03-20,258264,4,1.5,1224,7344,1.5,0,1967,0,Metro City,10003
PROP_00249,2026-03-23,261820,1,1.0,1060,6360,1.5,0,1979,0,Greenwood Valley,40082
PROP_00250,2026-01-29,255840,3,2.0,1599,6396,1.0,0,1986,0,Tech Park District,30045
PROP_00251,2025-10-03,1150260,6,3.5,4036,28252,2.0,0,2010,2020,Coastal Suburbs,20013
PROP_00252,2026-01-29,302940,3,1.5,1485,2970,1.0,0,1957,0,Metro City,10001
PROP_00253,2025-12-26,490050,1,2.5,2025,12150,1.0,0,1966,0,Metro City,10001
PROP_00254,2025-09-06,374467,2,2.0,1683,8415,1.5,0,1952,2016,Metro City,10001
PROP_00255,2025-07-19,417096,4,1.0,1931,9655,1.0,0,1966,0,Coastal Suburbs,20013
PROP_00256,2025-07-20,203680,1,2.0,1520,4560,1.5,0,1980,0,Greenwood Valley,40081
PROP_00257,2026-05-04,345648,1,1.0,2274,6822,1.0,0,2006,0,Metro City,10002
PROP_00258,2026-01-07,160815,2,2.0,1065,6390,1.5,0,1959,0,Metro City,10003
PROP_00259,2025-11-29,331352,3,1.5,1708,6832,1.5,0,1981,0,Coastal Suburbs,20012
PROP_00260,2026-01-03,368196,1,1.0,1509,7545,2.0,0,1985,0,Tech Park District,30046
PROP_00261,2025-12-28,452980,2,1.0,1562,4686,1.0,0,2008,2016,Coastal Suburbs,20013
PROP_00262,2026-01-26,212114,4,2.0,973,1946,1.5,0,2013,0,Greenwood Valley,40081
PROP_00263,2025-06-28,209608,2,1.5,1576,4728,2.0,0,1989,0,Greenwood Valley,40082
PROP_00264,2026-05-11,1475041,5,3.5,3287,9861,2.5,0,2005,2016,Tech Park District,30045
PROP_00265,2026-05-01,1427268,6,3.5,4299,25794,3.0,0,1983,0,Metro City,10004
PROP_00266,2026-04-27,117171,2,1.5,831,3324,2.0,0,1981,0,Greenwood Valley,40082
PROP_00267,2025-07-21,189420,1,2.0,1540,6160,2.0,0,1965,0,Tech Park District,30046
PROP_00268,2025-07-02,719061,5,4.0,2471,14826,2.0,0,2011,0,Tech Park District,30046
PROP_00269,2025-12-24,475368,1,2.0,2049,12294,1.5,0,1973,0,Coastal Suburbs,20012
PROP_00270,2025-11-21,806785,4,3.0,3115,12460,3.0,0,1964,0,Tech Park District,30046
